,image,pred,logit_0,logit_1,actual,group,spurious,correct
0,001.Black_footed_Albatross/Black_Footed_Albatross_0046_18.jpg,1,-7.693817615509033,6.214590549468994,1,3,1,1
1,001.Black_footed_Albatross/Black_Footed_Albatross_0002_55.jpg,1,-3.4785425662994385,2.5343644618988037,1,2,0,1
2,001.Black_footed_Albatross/Black_Footed_Albatross_0085_92.jpg,1,-5.499472618103027,4.147216796875,1,3,1,1
3,001.Black_footed_Albatross/Black_Footed_Albatross_0025_796057.jpg,1,-9.571493148803711,8.21833610534668,1,3,1,1
4,001.Black_footed_Albatross/Black_Footed_Albatross_0086_796062.jpg,1,-2.127378463745117,1.324965238571167,1,2,0,1
5,001.Black_footed_Albatross/Black_Footed_Albatross_0049_796063.jpg,0,3.0334599018096924,-3.701185941696167,1,2,0,0
6,001.Black_footed_Albatross/Black_Footed_Albatross_0006_796065.jpg,1,-2.631757974624634,1.5147371292114258,1,2,0,1
7,001.Black_footed_Albatross/Black_Footed_Albatross_0016_796067.jpg,1,-0.9565212726593018,0.1729903519153595,1,2,0,1
8,001.Black_footed_Albatross/Black_Footed_Albatross_0065_796068.jpg,1,-5.457866191864014,4.586077690124512,1,3,1,1
9,001.Black_footed_Albatross/Black_Footed_Albatross_0042_796071.jpg,1,-8.095133781433105,6.706954479217529,1,3,1,1
10,001.Black_footed_Albatross/Black_Footed_Albatross_0090_796077.jpg,1,-3.871479034423828,2.7078518867492676,1,2,0,1
11,001.Black_footed_Albatross/Black_Footed_Albatross_0061_796082.jpg,1,-8.05420970916748,7.1254658699035645,1,3,1,1
12,001.Black_footed_Albatross/Black_Footed_Albatross_0008_796083.jpg,1,-1.4729032516479492,0.5264158248901367,1,3,1,1
13,001.Black_footed_Albatross/Black_Footed_Albatross_0033_796086.jpg,1,-7.824160099029541,6.569053649902344,1,3,1,1
14,001.Black_footed_Albatross/Black_Footed_Albatross_0024_796089.jpg,1,-7.791903495788574,6.447786808013916,1,3,1,1
15,001.Black_footed_Albatross/Black_Footed_Albatross_0005_796090.jpg,0,-0.21304450929164886,-0.6518417596817017,1,2,0,0
16,001.Black_footed_Albatross/Black_Footed_Albatross_0026_796095.jpg,1,-1.3962740898132324,0.5480756759643555,1,2,0,1
17,001.Black_footed_Albatross/Black_Footed_Albatross_0064_796101.jpg,1,-5.267583847045898,3.8988702297210693,1,3,1,1
18,001.Black_footed_Albatross/Black_Footed_Albatross_0076_417.jpg,1,-5.549907207489014,4.609821319580078,1,2,0,1
19,001.Black_footed_Albatross/Black_Footed_Albatross_0053_796109.jpg,1,-5.013460636138916,3.77890944480896,1,3,1,1
20,001.Black_footed_Albatross/Black_Footed_Albatross_0001_796111.jpg,1,-2.3546736240386963,1.1981208324432373,1,2,0,1
21,001.Black_footed_Albatross/Black_Footed_Albatross_0037_796120.jpg,1,-5.451759338378906,4.483150005340576,1,3,1,1
22,001.Black_footed_Albatross/Black_Footed_Albatross_0082_796121.jpg,0,0.0823330208659172,-0.9706605076789856,1,2,0,0
23,001.Black_footed_Albatross/Black_Footed_Albatross_0050_796125.jpg,1,-2.818681001663208,1.7336474657058716,1,2,0,1
24,001.Black_footed_Albatross/Black_Footed_Albatross_0078_796126.jpg,0,0.7797852158546448,-1.4527827501296997,1,2,0,0
25,001.Black_footed_Albatross/Black_Footed_Albatross_0045_796129.jpg,0,4.018587589263916,-4.5101637840271,1,2,0,0
26,001.Black_footed_Albatross/Black_Footed_Albatross_0088_796133.jpg,0,1.815963864326477,-2.3512790203094482,1,2,0,0
27,001.Black_footed_Albatross/Black_Footed_Albatross_0003_796136.jpg,1,-5.2046709060668945,4.2027435302734375,1,3,1,1
